test	elf	group	pass	fail	verdict	note
imxrt1180-pwmadc	pwmadc.elf	MOTOR	1	0	PASS	-
imxrt1180-pwm-cldok	pwmcldok.elf	MOTOR	1	0	PASS	-
imxrt1180-pwm-dma	pwmdma.elf	MOTOR	1	0	PASS	-
imxrt1180-sai	sai.elf	CM33	0	1	FAIL	RAN AND DISAGREED -- real model gap with a golden attached
imxrt1180-sai-audiopll	saiapll.elf	CM33	0	1	FAIL	RAN AND DISAGREED -- real model gap with a golden attached
imxrt1180-sai-dma	saidma.elf	CM33	0	1	FAIL	RAN AND DISAGREED -- real model gap with a golden attached
imxrt1180-timers2	timers2.elf	CM33	0	0	NO-OUTPUT	needs triage: short budget vs missing platform feature
imxrt1180-tmr	tmr.elf	CM33	0	0	NO-OUTPUT	needs triage: short budget vs missing platform feature
imxrt1180-uartlink	passthrough.elf	CM33	1	0	PASS	-
imxrt1180-usb	usb.elf	CM33	1	0	PASS	-
imxrt1180-usdhc	usdhc.elf	CM33	0	1	FAIL	RAN AND DISAGREED -- real model gap with a golden attached
imxrt1180-wm8962	wm8962.elf	CM33	1	0	PASS	-
